Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
150,32.89,30.8,31.85,0.81,0.0252,3,"2,781",0.24
151,22.14,29.95,31,0,-,26,16,0.24
154,29.69,27.45,28.5,-0.31,-1.03%,1,3,0.23
155,30.08,26.65,27.7,2.33,0.084,1,"13,912",0.23
157,36.7,25.05,26.1,0,-,1,8,0.23
158,29.73,24.3,25.35,0,-,1,1,0.23
159,36.5,23.65,24.5,0,-,-,17,0.23
160,25.12,22.9,23.75,0.92,0.038,5,"2,965",0.23
161,33.69,22.15,23.05,0,-,1,1,0.23
163,25.05,20.65,21.65,0,-,1,1,0.23
165,20.97,19.45,20.3,0,-,66,"43,429",0.22
166,22.37,18.8,19.65,0,-,1,3,0.22
167,23.15,18.2,19,0,-,31,17,0.22
168,19.15,17.6,18.4,-8.75,-31.36%,1,20,0.22
169,19.2,17,17.8,0,-,8,21,0.22
170,17.52,16.4,17.25,-0.48,-2.67%,21,"6,762",0.23
171,17.55,15.85,16.65,-10.18,-36.71%,1,20,0.22
172,17.8,15.3,16.15,1.05,0.0627,1,45,0.23
173,16.45,14.8,15.6,0.25,0.0154,13,94,0.23
174,16.3,14.3,15.1,0,-,4,68,0.23
175,14.9,13.8,14.6,-0.65,-4.18%,18,"20,953",0.23
176,14.15,13.3,14.1,-0.52,-3.54%,17,540,0.23
177,14.63,12.85,13.65,0.48,0.0339,2,65,0.23
178,14.55,12.4,13.2,0.38,0.0268,10,88,0.23
179,13.2,12,12.7,-0.3,-2.22%,16,60,0.23
180,12,11.6,12.3,-0.85,-6.61%,"2,497","7,690",0.23
181,12.1,11.2,11.9,-0.35,-2.81%,247,349,0.23
182,12.3,10.8,11.8,0.2,0.0165,59,358,0.24
183,12.22,10.3,11.15,0.47,0.04,105,108,0.23
184,10.5,9.95,10.8,-1.07,-9.25%,11,169,0.23
185,10.59,9.75,10.45,-0.56,-5.02%,79,"9,328",0.23
186,10.84,9.4,10.15,0,-,1,41,0.24
187,10.4,9.1,9.85,0,-,26,86,0.24
188,10.35,8.8,9.55,0.22,0.0217,34,50,0.24
189,10.03,8.5,9.25,0.22,0.0224,3,437,0.24
190,9,8.25,9.15,-0.5,-5.26%,"7,092","12,302",0.24
195,7.61,7,7.75,-0.68,-8.20%,58,"9,037",0.25
200,6.5,6,6.75,-0.45,-6.47%,89,"3,732",0.25
205,6.15,4.75,5.85,0.15,0.025,36,"1,763",0.26
210,5.02,4.4,5.15,-0.28,-5.28%,"3,533","4,288",0.27
215,4.27,3.8,4.55,-0.42,-8.96%,22,"17,175",0.28
220,3.7,3.25,4,-0.33,-8.19%,41,"2,747",0.28
225,3.25,2.87,3.35,-0.35,-9.72%,20,"1,213",0.28
230,2.88,2.85,3.15,-0.32,-10.00%,35,"1,762",0.29
235,3.05,2.19,2.8,0.18,0.0627,4,"1,741",0.30
240,2.38,1.73,2.51,-0.16,-6.30%,24,"3,188",0.30
245,2.37,1.69,2.27,0.01,0.0042,1,279,0.31
250,1.86,1.7,1.88,-0.21,-10.14%,126,412,0.31
255,1.95,1.07,1.8,-0.05,-2.50%,6,637,0.32
260,1.71,1.2,1.77,-1.29,-43.00%,30,32,0.33
265,2.75,1.1,1.66,0,-,2,27,0.34
270,1.31,1.16,1.31,-0.08,-5.76%,14,"1,553",0.33
275,1.35,1.06,1.21,0.13,0.1066,25,120,0.34
280,1.21,0.97,1.12,-0.79,-39.50%,3,13,0.34
285,1.85,0.91,1.02,0,-,2,19,0.35
290,1.74,0.84,0.96,0,-,1,58,0.35
295,0.91,0.76,0.91,-0.03,-3.19%,2,26,0.36
300,0.83,0.74,0.86,-0.1,-10.75%,56,"2,003",0.36